"date","tourists","Quarter"
1999-01-01,30.052513,1999 Q1
1999-04-01,19.148496,1999 Q2
1999-07-01,25.317692,1999 Q3
1999-10-01,27.591437,1999 Q4
2000-01-01,32.076456,2000 Q1
2000-04-01,23.487961,2000 Q2
2000-07-01,28.47594,2000 Q3
2000-10-01,35.123753,2000 Q4
2001-01-01,36.838485,2001 Q1
2001-04-01,25.007017,2001 Q2
2001-07-01,30.72223,2001 Q3
2001-10-01,28.693759,2001 Q4
2002-01-01,36.640986,2002 Q1
2002-04-01,23.824609,2002 Q2
2002-07-01,29.311683,2002 Q3
2002-10-01,31.770309,2002 Q4
2003-01-01,35.177877,2003 Q1
2003-04-01,19.775244,2003 Q2
2003-07-01,29.60175,2003 Q3
2003-10-01,34.538842,2003 Q4
2004-01-01,41.273599,2004 Q1
2004-04-01,26.655862,2004 Q2
2004-07-01,28.279859,2004 Q3
2004-10-01,35.191153,2004 Q4
2005-01-01,41.727458,2005 Q1
2005-04-01,24.04185,2005 Q2
2005-07-01,32.328103,2005 Q3
2005-10-01,37.328708,2005 Q4
2006-01-01,46.213153,2006 Q1
2006-04-01,29.346326,2006 Q2
2006-07-01,36.48291,2006 Q3
2006-10-01,42.977719,2006 Q4
2007-01-01,48.901525,2007 Q1
2007-04-01,31.180221,2007 Q2
2007-07-01,37.717881,2007 Q3
2007-10-01,40.420211,2007 Q4
2008-01-01,51.206863,2008 Q1
2008-04-01,31.887228,2008 Q2
2008-07-01,40.978263,2008 Q3
2008-10-01,43.772491,2008 Q4
2009-01-01,55.558567,2009 Q1
2009-04-01,33.850915,2009 Q2
2009-07-01,42.076383,2009 Q3
2009-10-01,45.642292,2009 Q4
2010-01-01,59.76678,2010 Q1
2010-04-01,35.191877,2010 Q2
2010-07-01,44.319737,2010 Q3
2010-10-01,47.913736,2010 Q4
